Model,Fit_Time_sec,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_Roc_auc,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_Roc_auc
LogisticRegression,1.461669683456421,0.50039,0.30019500000000005,0.6,0.40017327047203544,0.6869761989124867,0.49844,0.29922,0.6,0.3993056586745497,0.6851721246607827
SGDClassifier,6.0769429206848145,0.5003500000000001,0.300175,0.6,0.4001554938793639,0.7339163351914518,0.49860000000000004,0.2993,0.6,0.3993767887536819,0.7321078512427279
LinearSVC,8.898872137069702,0.6000599999999999,0.6741353483007222,0.6803129129396207,0.5571186725609525,0.7342339556495198,0.5980000000000001,0.6672332311376649,0.6810339934090861,0.5561404929247279,0.7324348590855051
BernoulliNB,2.996055841445923,0.658495,0.6511728950937,0.6827195163856224,0.666572587326483,0.7206677417808173,0.65602,0.6485663454731506,0.6811076382535906,0.6644344414659378,0.7177966899708288
DecisionTreeClassifier,252.79671025276184,1.0,1.0,1.0,1.0,1.0,0.57096,0.5713528981652427,0.5683295218858648,0.5698099795414422,0.5709784339683983
RandomForestClassifier,984.9520828723907,1.0,1.0,1.0,1.0,1.0,0.6843600000000001,0.6806796985688237,0.6945391686885827,0.6875326002580745,0.7542241502952448
ExtraTreesClassifier,211.223628282547,1.0,1.0,1.0,1.0,1.0,0.67492,0.6742605512130014,0.6770710618140201,0.6756020284526313,0.7437328448200418
GradientBoostingClassifier,6383.5322296619415,0.735565,0.730160577199967,0.7473185748971782,0.7386372135049821,0.8138226885188343,0.69522,0.6908786846330498,0.7066966795958051,0.6986760378179954,0.7667943075671715
AdaBoostClassifier,1187.8468766212463,0.6783949999999999,0.68120442114327,0.6708640367276857,0.6759074190658388,0.7465757959593498,0.66752,0.6703207628651824,0.6601255937965798,0.6650086781386388,0.7308905089119307
MLPClassifier,16111.697213888168,0.7473000000000001,0.7516276306326847,0.7427213502074758,0.7453848795976402,0.8267404439093878,0.7428,0.7472527382487067,0.7380538525869265,0.7407497867110702,0.8215095760261839
