Model,Fit_Time_sec,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_Roc_auc,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_Roc_auc
LogisticRegression,0.36922216415405273,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5
SGDClassifier,0.9116363525390625,0.5,0.5,1.0,0.6666666666666666,0.7356636075,0.5,0.5,1.0,0.6666666666666666,0.7292518000000001
LinearSVC,0.6776614189147949,0.670725,0.652698895398238,0.72975,0.6890772172517173,0.740606045,0.6696,0.6515909903468001,0.729,0.6881253539739475,0.73455008
BernoulliNB,0.330507755279541,0.658825,0.6498278383095137,0.68885,0.6687701754811777,0.72051452,0.6487,0.6399924684616833,0.6798,0.6592958975851033,0.7128207999999999
DecisionTreeClassifier,41.45152688026428,1.0,1.0,1.0,1.0,1.0,0.5572,0.5584389047813649,0.5466,0.5524560339599758,0.5572
RandomForestClassifier,55.957843542099,1.0,1.0,1.0,1.0,1.0,0.6715,0.6705788740799682,0.6742,0.6723845616834546,0.73789436
ExtraTreesClassifier,12.146318912506104,1.0,1.0,1.0,1.0,1.0,0.6632,0.6657862657456318,0.6554,0.6605523080024188,0.7297471200000001
GradientBoostingClassifier,943.8027477264404,0.7379,0.7345691185170578,0.745,0.7397477906861285,0.81666745,0.6954,0.6889017788089714,0.7126,0.7005505308690523,0.76626764
AdaBoostClassifier,168.3111047744751,0.6766,0.675476947535771,0.6798,0.6776315789473685,0.7423389075,0.6652,0.6605754276827371,0.6796,0.6699526813880127,0.72538512
MLPClassifier,580.2255051136017,0.74295,0.7322213725865035,0.76605,0.7487537875085525,0.8200199887500002,0.7343,0.7252451451643914,0.7544,0.7395353396725811,0.81389052
